VideoAnalysis: Time (s),VideoAnalysis: X,VideoAnalysis: Y,VideoAnalysis: X Velocity,VideoAnalysis: Y Velocity
25.2,156.351875,378.085625,-70.62455401,5.560955252
25.4,145.5510938,380.4996875,-21.79472448,2.598896761
25.6,146.445625,380.10125,33.68706597,-4.71625434
25.8,160.3675,377.2067188,80.15353733,-5.636393229
26,182.7542188,376.2184375,102.0773655,1.290690104
26.2,206.351875,377.6285938,93.7906901,8.644205729
26.4,224.2776563,381.0621875,60.36187066,9.054904514
26.6,233.1526563,383.1129688,10.5485026,0.477430556
26.8,229.6721875,381.0270313,-44.83018663,-7.336154514
27,213.0120313,378.616875,-87.11697049,-7.654079861
27.2,190.1721875,377.0075,-102.3459201,-2.564561632
27.4,167.1565625,377.4371875,-88.0219184,3.158094618
27.6,150.52375,379.1559375,-47.54123264,4.437934028
27.8,146.4065625,380.8785938,4.243164063,-1.922743056
28,152.5667188,377.6442188,54.10101997,-5.141059028
28.2,170.2815625,377.6871875,89.74446615,-2.579210069
28.4,192.96125,376.0192188,98.91655816,3.258463542
28.6,214.4964063,378.554375,80.13020833,10.28103299
28.8,228.8635938,382.1832813,38.26443142,7.358398438
29,231.7815625,382.9176563,-15.07541233,-2.395833333
29.2,221.883125,380.4996875,-63.21668837,-8.887261285
29.4,203.4534375,377.9567188,-93.15863715,-8.129340278
29.6,180.3714063,375.7145313,-97.06705729,-0.032552083
29.8,159.7659375,378.6207813,-72.20486111,5.021158854
30,147.77375,379.6090625,-25.65212674,1.39594184
30.2,148.414375,379.3785938,27.65842014,-3.704969618
30.4,160.5042188,377.335625,71.52886285,-5.167100694
30.6,180.52375,376.3239063,94.36197917,-1.114366319
30.8,202.664375,376.3903125,90.54361979,5.089518229
31,221.1175,378.5660938,60.80457899,9.622938368
31.2,229.6292188,382.5309375,14.59472656,3.553059896
31.4,227.6096875,380.2575,-35.53331163,-4.116210938
31.6,214.3557813,379.554375,-77.95084635,-5.726996528
31.8,192.101875,377.1910938,-95.63422309,-3.027886285
32,171.3323438,377.6676563,-85.14973958,2.924804688
32.2,154.3323438,379.5192188,-51.48003472,3.503689236
32.4,148.1057813,379.9254688,-2.436849411,0.035968015
32.6,153.2073438,379.2496875,47.40365928,-2.65969966
32.8,169.4221875,378.2848438,83.45543367,-2.06505834
33,190.414375,378.023125,95.57122176,0.861291327
33.2,212.2620313,377.7809375,79.39394208,6.981602319
33.4,225.976875,382.179375,40.46686886,6.438188619
33.6,230.1682813,381.8707813,-9.030490451,-1.170247396
33.8,222.0667188,381.3278125,-56.48111979,-7.292209201
34,204.6214063,377.9176563,-86.64930556,-7.976345486
34.2,183.508125,376.85125,-92.85915799,-2.124023438
34.4,162.9260938,376.8395313,-71.93413628,4.396158854
34.6,150.8557813,380.1325,-28.90733507,4.000108507
34.8,150.4729688,379.866875,20.42263455,-3.026258681
35,160.4573438,377.60125,62.15983073,-4.523111979
35.2,177.7190625,377.2223438,88.19498698,-1.71875
35.4,199.758125,376.695,89.8578559,2.670355903
35.6,218.555,378.3864063,63.52322049,6.070963542
35.8,227.9065625,380.3551563,19.99023438,3.211805556
36,227.5784375,380.3551563,-29.65820313,-2.996961806
36.2,214.9104688,378.9723438,-71.78765191,-7.823893229
36.4,194.9807813,375.7965625,-91.35633681,-5.585394965
36.6,173.9065625,375.3317188,-84.19053819,2.925347222
36.8,157.0628125,378.1520313,-52.02745226,6.104600694
37,150.7229688,379.5153125,-5.6640625,1.193033854
37.2,155.2307813,378.5895313,39.30718316,-3.970269097
37.4,168.2151563,376.8942188,73.4516059,-4.153645833
37.6,187.7620313,375.7614063,88.03765191,1.449652778
37.8,207.3909375,377.5075,78.55577257,6.860351563
38,223.1292188,379.7223438,45.72645399,6.242947049
38.2,228.3167188,381.0348438,-2.116427951,0.403103299
38.4,222.2229688,379.91375,-49.51388889,-5.607096354
38.6,205.7307813,377.6403125,-80.98144531,-5.847439236
38.8,185.6604688,376.5426563,-87.74902344,-0.950520833
39,166.570625,377.22625,-69.81065538,4.092881944
39.2,154.3635938,379.3864063,-31.81911892,3.274197049
39.4,152.5432813,379.4996875,14.14822049,-2.084960938
39.6,160.820625,378.210625,55.64615885,-5.611979167
39.8,177.39875,375.7496875,81.51312934,-2.055664063
40,196.93,376.5426563,85.53005642,5.597873264
40.2,215.8245313,379.10125,64.55150337,8.09003707
40.4,226.43,380.7926563,22.72313878,5.085073134
40.6,225.6995313,381.8942188,-24.65748585,-1.852834877
40.8,215.1135938,379.773125,-63.85825797,-7.025866068
41,197.4378125,377.5114063,-85.36049621,-4.770801617
41.2,176.9729688,377.195,-82.58846787,0.709402255
41.4,160.2229688,378.9410938,-55.36458333,1.435546875
41.6,152.0432813,378.5270313,-11.71223958,-1.547851563
41.8,155.305,377.8785938,33.92089844,-2.86187066
42,167.2542188,377.0192188,69.56759983,-2.081705729
42.2,186.5276563,376.4567188,84.97775608,1.828342014
42.4,205.3909375,377.6129688,75.66623264,5.887586806
42.6,220.0628125,379.491875,46.16210938,6.352539063
42.8,226.3792188,381.5075,2.182074653,0.305989583
43,220.9104688,379.4879688,-41.81911892,-5.21484375
43.2,207.5784375,378.6129688,-73.49772135,-6.448567708
43.4,188.0471875,375.695,-84.26432292,-1.867947049
43.6,169.5471875,377.5075,-69.54047309,3.979492188
43.8,157.1448438,379.1989063,-35.88487413,1.317274306
44,153.2542188,378.8746875,9.19921875,-5.129665799
44.2,161.3128125,375.82,51.61241319,-5.652669271
44.4,176.0471875,375.4176563,80.42317708,-0.236002604
44.6,197.2698438,375.4410938,86.22395833,6.59125434
44.8,215.6448438,379.195,63.56282552,7.875434028
45,225.4065625,379.9489063,24.07823351,2.150065104
45.2,225.4065625,379.9489063,-18.45920139,-3.472764757
45.4,217.6565625,378.3590625,-57.32638889,-7.712673611
45.6,200.3948438,375.3590625,-82.20269097,-4.510633681
45.8,179.8635938,376.2535938,-80.02821181,0.505642361
46,164.6292188,376.0582813,-55.13671875,3.18359375
46.2,156.0159375,378.0934375,-17.65136719,2.833116319
46.4,156.0159375,378.0934375,27.52441406,-1.795789931
46.6,168.4378125,376.5192188,64.26540799,-2.380099826
46.8,185.101875,376.6442188,81.54351128,-0.043945313
47,204.8245313,375.7340625,75.67599826,5.384657118
47.2,219.1409375,379.0426563,47.42567274,8.748372396
47.4,226.27375,381.9957813,4.98046875,-0.071614583
47.6,221.02375,378.8473438,-37.61230469,-8.158094618
47.8,209.0940625,376.5426563,-68.1000434,-6.567925347
48,191.2073438,375.460625,-81.49251302,-0.693359375
48.2,172.4339063,376.82,-70.83449914,3.247964476
48.4,158.6878125,377.7614063,-36.76533571,2.281411268
48.6,156.476875,377.7653125,5.873665979,0.523110038
48.8,161.6253125,377.8590625,45.71193868,-0.867466623
49,176.9729688,377.2496875,71.82035844,-0.85982232
49.2,193.3010938,377.0504688,79.00224695,1.371422893
49.4,212.21125,377.3707813,64.32128906,4.820963542
49.6,223.070625,380.0309375,27.24717882,3.411458333
49.8,223.7190625,380.0309375,-14.75531684,-3.595920139
50,216.5745313,377.4020313,-53.26063368,-5.632052951
50.2,199.7620313,376.8160938,-75.7405599,-2.985568576
50.4,182.8753125,376.4840625,-77.27430556,-0.723198785
50.6,164.9339063,376.3942188,-55.7438151,1.761610243
50.8,157.3870313,377.7067188,-16.27766927,1.518012153
51,158.3596875,377.7067188,25.07215712,-1.763237847
51.2,168.820625,376.4098438,58.62521701,-2.287326389
51.4,183.8948438,376.1559375,78.01378038,0.453559028
51.6,203.6096875,376.1754688,75.80186632,4.927300347
51.8,218.5510938,378.47625,48.92089844,7.409396701
52,225.4104688,380.773125,8.394639757,2.298177083
52.2,222.4573438,379.210625,-34.9625651,-2.479926215
52.4,209.1565625,379.2145313,-65.56749132,-4.47265625
52.6,192.539375,376.97625,-75.1047092,-3.759765625
52.8,176.1995313,376.8473438,-65.75412326,0.669487847
53,163.3596875,378.1598438,-38.93825955,1.173502604
53.2,158.5628125,378.1598438,-0.501302083,-1.96234809
53.4,163.4260938,376.5426563,37.22005208,-1.777886285
53.6,174.8714063,377.1520313,65.93153212,0.106336806
53.8,192.3167188,376.4879688,78.14073351,2.780490451
54,210.5354688,378.1325,65.19802517,5.527886285
54.2,222.133125,379.4996875,31.10026042,4.157443576
54.4,224.0784375,380.4840625,-10.51052517,-0.550130208
54.6,216.883125,379.241875,-47.00141059,-4.997829861
54.8,203.2073438,377.6598438,-70.23925781,-5.266927083
55,185.8753125,376.2653125,-75.08951823,-1.388888889
55.2,168.7385938,377.2692188,-55.28428819,1.851128472
55.4,161.5003125,378.0114063,-21.06391059,0.565321181
55.6,159.8010938,377.6910938,17.38172743,-1.644422743
55.8,168.43,376.7614063,54.26323785,-1.333007813
56,184.320625,376.445,74.36722417,2.460407793
56.2,201.9104688,378.148125,72.58809868,4.615625322
56.4,217.5276563,378.47625,46.94464923,5.243624753
56.6,222.3557813,380.8864063,9.697789494,2.354853202
56.8,221.3714063,380.2379688,-28.22305165,-3.966991869
57,210.21125,378.3629688,-59.75580052,-6.015957765
57.2,194.4378125,376.8317188,-73.49338108,-3.244900174
57.4,177.4534375,377.241875,-66.95800781,-0.616861979
57.6,164.4690625,376.7535938,-41.18326823,1.003689236
57.8,158.7307813,378.0660938,-2.841796875,0.473632813
58,163.4339063,377.3903125,35.47309028,-2.073567708
58.2,175.2073438,376.4957813,61.37803819,-1.239149306
58.4,190.0315625,376.7496875,73.17165799,0.705837674
58.6,207.883125,376.4567188,64.2827691,3.827582465
58.8,219.555,378.4254688,34.47753906,5.748697917
59,223.1214063,380.3942188,-4.588758681,0.399305556
59.2,216.8167188,378.1715625,-39.98969184,-3.541124132
59.4,205.945625,378.1832813,-66.46592882,-3.753797743
59.6,187.4495313,376.7301563,-75.31738281,-3.358289931
59.8,170.8557813,375.945,-57.29980469,0.799153646
60,162.101875,377.7184375,-24.23068576,1.755642361
60.2,160.789375,377.7184375,13.01486545,-1.680772569
60.4,167.8557813,376.4254688,46.42469618,-2.475585938
60.6,180.8635938,375.7770313,69.09233941,1.073133681
60.8,199.3479688,376.7692188,69.96799045,5.238172743
61,212.7073438,378.4410938,48.64312066,6.448567708
61.2,220.383125,380.1832813,16.20442708,3.091362847
61.4,220.383125,380.1832813,-22.58843316,-2.608506944
61.6,210.21125,378.9098438,-54.57356771,-6.883680556
61.8,195.8635938,375.9332813,-70.60601128,-4.231770833
62,178.789375,376.9723438,-67.13324653,0.074869792
62.2,165.2346875,376.7614063,-42.24392361,0.926649306
62.4,160.2620313,377.4176563,-6.937391493,0.843098958
62.6,162.5315625,377.7457813,28.85579427,-1.879882813
62.8,172.7971875,376.1364063,57.86512587,-1.764322917
63,188.2190625,375.6520313,71.16156684,4.055989583
63.2,204.7815625,378.2965625,63.69466146,7.299262153
63.4,217.1175,380.2653125,36.33246528,2.928059896
63.6,221.008125,379.6207813,-1.295030382,-2.731119792
63.8,216.414375,378.3278125,-38.09570313,-4.797092014
